0,067073084
1827,2095
1879,5133
1936,1162
1949,7091
1966,0201
1967,9847
1969,5494
1975,0538
1983,7728
1984,8541
1991,098
1993,9868
2008,2318
2017,0586
2018,2191
2018,7689
2023,2733
2028,0542
2030,5824
2032,1367
2034,8002
2035,9916
2039,1105
2040,9453
2041,3271
2042,5723
2044,0988
2046,6802
2049,3298
2050,3684
2051,593
2054,717
2056,584
2058,6218
2058,8923
2061,1313
2061,9236
2065,675
2069,4387
2071,1882
2073,8652
2078,8184
2079,66
2080,9348
2084,402
2085,8918
2086,5986
2089,864
2091,0261
2093,052
2094,792
2095,6663
2096,1433
2099,7454
2100,8284
2101,4583
2105,123
2106,4465
2107,736
2108,5864
2111,6797
2113,5212
2114,59
2115,2883
2116,1912
2117,0166
2117,6213
2117,997
2119,699
2120,4146
2120,9082
2122,011
2122,2393
2122,8013
2123,0134
2123,2463
2123,4602
2123,655
2124,2493
2124,3318
2124,618
2125,3909
2125,5146
2125,9036
2127,1086
2128,0784
2128,265
2128,894
2129,3452
2130,0542
2130,4104
2130,9033
2131,0505
2132,4963
2134,7566
2135,125
2136,9707
2139,504
2145,7034
